"subNumber","automation","nback","runNumber","eventType","type","steering","rt","jerk","minTTC","crash","Age"
14,"MD","2-Back",1,"LEFT_PEDESTRIAN","Mainly brake",0,2.73329999999999,0.89157366879691,1.03114609457553,0,39
14,"MD","2-Back",1,"RIGHT_PEDESTRIAN","Mainly brake",0,2.76670000000001,-0.462690940931148,0,1,39
14,"MD","No Task",2,"LEFT_PEDESTRIAN","Mainly brake",0,1.88330000000002,0.793940419124875,1.88686173506896,0,39
14,"MD","No Task",2,"ONCOMING_VEHICLES","Mainly brake",0,0.533299999999997,1.07786209082319,1.15347293202797,0,39
14,"MD","No Task",2,"RIGHT_PEDESTRIAN","Mainly brake",0,2.15000000000003,-0.613157403875662,1.27560854117737,0,39
14,"PAD","2-Back",3,"RIGHT_PEDESTRIAN","Mainly brake",0,3.70000000000002,-1.99141205972088,0,1,39
14,"PAD","2-Back",3,"LEFT_PEDESTRIAN","Mainly brake",0,4.10000000000002,-2.01078201327906,0,1,39
14,"PAD","2-Back",3,"ONCOMING_VEHICLES","Mainly brake",0,0.566599999999994,1.45505319146116,0.862420928690722,0,39
14,"PAD","No Task",4,"ONCOMING_VEHICLES","Mainly brake",0,0.433400000000006,0.963807469847151,0.867183254217547,0,39
14,"PAD","No Task",4,"RIGHT_PEDESTRIAN","Mainly brake",0,2.30000000000001,0.226966018779109,0.910247581480471,0,39
14,"PAD","No Task",4,"LEFT_PEDESTRIAN","Mainly brake",0,1.66669999999999,0.0996689111687709,1.70354145959512,0,39
15,"MD","2-Back",1,"LEFT_PEDESTRIAN","Mainly brake",0,1.70000000000002,-0.411635737361048,0,1,27
15,"PAD","No Task",2,"ONCOMING_VEHICLES","Mainly brake",0,0.350000000000023,1.26734656093592,1.63505309456861,0,27
15,"PAD","No Task",2,"LEFT_PEDESTRIAN","Mainly brake",0,1.30000000000001,1.04175537408935,2.22003075856044,0,27
15,"PAD","No Task",2,"RIGHT_PEDESTRIAN","Mainly brake",0,1.19999999999999,0.508795514907831,2.24277069512838,0,27
15,"MD","No Task",3,"RIGHT_PEDESTRIAN","Mainly brake",0,0.799999999999983,-0.935616313371618,1.80916247191811,0,27
15,"MD","No Task",3,"ONCOMING_VEHICLES","Mainly brake",0,0.466600000000028,1.21034909847345,0,1,27
15,"MD","No Task",3,"LEFT_PEDESTRIAN","Mainly brake",0,1.60000000000002,-1.68570586847813,3.63543484031378,0,27
15,"PAD","2-Back",4,"LEFT_PEDESTRIAN","Mainly brake",0,1.18329999999997,0.641323869475651,2.62730621303324,0,27
15,"PAD","2-Back",4,"RIGHT_PEDESTRIAN","Mainly brake",0,0.583399999999983,-0.396700617625447,2.91041095439381,0,27
15,"PAD","2-Back",4,"ONCOMING_VEHICLES","Mainly brake",0,0.683399999999892,0.773819242403158,0,1,27
16,"MD","2-Back",1,"ONCOMING_VEHICLES","Mainly brake",0,0.933300000000003,0.910095637425468,0.820147107244737,0,64
16,"MD","2-Back",1,"LEFT_PEDESTRIAN","Mainly brake",0,3.08330000000001,-1.19222619905574,1.95402998352629,0,64
16,"MD","2-Back",1,"RIGHT_PEDESTRIAN","Mainly brake",0,1.93340000000001,-0.956425862309526,2.23265956276123,0,64
16,"PAD","No Task",2,"LEFT_PEDESTRIAN","Mainly brake",0,-0.13330000000002,-1.53662204338284,2.125728258933,0,64
16,"PAD","No Task",2,"RIGHT_PEDESTRIAN","Mainly brake",0,1.01659999999998,0.919712927838655,2.56155045638391,0,64
16,"PAD","2-Back",3,"LEFT_PEDESTRIAN","Mainly brake",0,1.38340000000005,-1.00596042004491,2.63375187403568,0,64
16,"PAD","2-Back",3,"RIGHT_PEDESTRIAN","Mainly brake",0,2.08329999999995,-0.583544404614089,2.0645824461422,0,64
16,"MD","No Task",4,"LEFT_PEDESTRIAN","Mainly brake",0,2.05000000000001,-0.756339811501439,2.20218527611038,0,64
16,"MD","No Task",4,"ONCOMING_VEHICLES","Mainly brake",0,0.733299999999986,1.73445366696407,0,1,64
16,"MD","No Task",4,"RIGHT_PEDESTRIAN","Mainly brake",0,3.05000000000007,0.435375828505449,1.21244102049251,0,64
17,"MD","2-Back",1,"LEFT_PEDESTRIAN","Mainly brake",0,1.89999999999998,-1.35086127014409,1.72126548064648,0,31
17,"MD","2-Back",1,"ONCOMING_VEHICLES","Mainly brake",0,0.683400000000006,-2.01078201327906,0,1,31
17,"PAD","2-Back",2,"ONCOMING_VEHICLES","Mainly brake",0,0.699999999999989,0.226474559308077,0,1,31
17,"PAD","2-Back",2,"LEFT_PEDESTRIAN","Mainly brake",0,1.71670000000006,1.14750710793236,1.81610047376204,0,31
17,"PAD","2-Back",2,"RIGHT_PEDESTRIAN","Mainly brake",0,1.5,0.815497727064834,1.97982314521496,0,31
17,"PAD","No Task",3,"ONCOMING_VEHICLES","Mainly brake",0,0.399999999999977,0.942676442252658,0.93320229331712,0,31
17,"PAD","No Task",3,"RIGHT_PEDESTRIAN","Mainly brake",0,1.59999999999997,0.569708093733701,1.88763287697552,0,31
17,"PAD","No Task",3,"LEFT_PEDESTRIAN","Mainly brake",0,2.55000000000007,-0.792106514753467,0,1,31
17,"MD","No Task",4,"ONCOMING_VEHICLES","Mainly brake",0,-3.93340000000001,-1.85934300559398,4.2263093706964,0,31
17,"MD","No Task",4,"LEFT_PEDESTRIAN","Mainly brake",0,1.63330000000002,-0.6879704465115,2.41442005831902,0,31
17,"MD","No Task",4,"RIGHT_PEDESTRIAN","Mainly brake",0,1.83330000000001,-0.305973070733141,2.32648291910831,0,31
18,"MD","2-Back",1,"ONCOMING_VEHICLES","Mainly brake",0,0.633399999999995,0.649607800850741,0.178822064430958,0,35
18,"MD","2-Back",1,"LEFT_PEDESTRIAN","Mainly brake",0,2.09999999999997,-1.44619807997007,1.2530948791944,0,35
